Name,Type,Location ,Language,Link,Description,,,,,,,,,,,,,,Location / Focus (country)
The Streets Are Planning Podcast,Podcast,United States,English,https://www.thestreetsareplanning.com/,,,,,,,,,,,,,,,United States
Gigi the Planner,Blog,United States,English,https://www.gigitheplanner.com/blog,,,,,,,,,,,,,,,United States
BLCK SPCES,Blog,United States,English,https://www.blckspces.com/blog,Created by Dee Powell,,,,,,,,,,,,,,United States
Gigi the Planner blog,Blog,United States,English,https://www.gigitheplanner.com/blog,,,,,,,,,,,,,,,United States
BlackandUrban,Blog,United States,English,https://www.blackandurban.com/,Created by Byron Nicholas,,,,,,,,,,,,,,United States
America's Hidden Gem - Uncovering the Stories and Works of Black Architects,Blog,United States,English,https://americashiddengem.wordpress.com/,,,,,,,,,,,,,,,United States
Bryan Lee Jr,People to Follow,United States,English,https://twitter.com/BCLeeJr?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,,,,,,,,,,,,,United States
Darnell L. Moore ,People to Follow,"Los Angeles, CA",English,https://twitter.com/Moore_Darnell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,,,,,,,,,,,,,United States
Shabazz Stuart,People to Follow,"Brooklyn, NY",English,https://twitter.com/ShabazzStuart,,,,,,,,,,,,,,,United States
Justin Garrett Moore,People to Follow,NYC,English,https://twitter.com/jgmoore,,,,,,,,,,,,,,,United States
Alesia F. Montgomery,People to Follow,United States,English,https://twitter.com/alesia_ethnog,,,,,,,,,,,,,,,United States
Mona Eltahawy,People to Follow,Cairo / NYC,English,https://twitter.com/monaeltahawy,,,,,,,,,,,,,,,NA / International
Amber N. Wiley,People to Follow,United States,English,https://twitter.com/profwiley,,,,,,,,,,,,,,,United States
Willow Lung-Amam,People to Follow,United States,English,https://twitter.com/drlungamam,,,,,,,,,,,,,,,United States
Lynn Ross,People to Follow,"Miami, FL",English,https://twitter.com/mslynnross,,,,,,,,,,,,,,,United States
Daphne Lundi,People to Follow,"Brooklyn, NY",English,https://twitter.com/mondayplans,,,,,,,,,,,,,,,United States
Jay Pitter,People to Follow,"Toronto, ON",English,https://twitter.com/Jay_Pitter?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,,,,,,,,,,,,,Canada
Orlando Bailey,People to Follow,"Detroit, MI",English,https://twitter.com/orlandopbailey,,,,,,,,,,,,,,,United States
Kristen Jeffers,People to Follow,United States,English,https://twitter.com/blackurbanist,,,,,,,,,,,,,,,United States
Brandi T. Summers,People to Follow,United States,English,https://twitter.com/_blusummers,,,,,,,,,,,,,,,United States
Danielle Harris,People to Follow,"Bay Area, CA",English,https://twitter.com/innovation_dj,,,,,,,,,,,,,,,United States
Byron Nicholas,People to Follow,United States,English,https://twitter.com/BlackAndUrban,Creator of BlackandUrban,,,,,,,,,,,,,,United States
Odetta MacLeish-White,People to Follow,"Atlanta, GA",English,https://twitter.com/OdettaMacLeishW,,,,,,,,,,,,,,,United States
Courtney Cobbs,People to Follow,"Chicago, IL",English,https://twitter.com/CourtneyCyclez,,,,,,,,,,,,,,,United States
Dee P.,People to Follow,United States,English,https://twitter.com/BLCKSPCES,Creator of BLCK SPCES,,,,,,,,,,,,,,United States
Veronica O’Davis,People to Follow,Washington DC,English,https://twitter.com/VeronicaODavis,,,,,,,,,,,,,,,United States
Dara Baldwin,People to Follow,Washington DC,English,https://twitter.com/NJDC07,,,,,,,,,,,,,,,United States
Dr. Destiny Thomas,People to Follow,Los Angeles,English,https://twitter.com/DrDesThePlanner,,,,,,,,,,,,,,,United States
Jerome Horne,People to Follow,"Indianapolis, IN",English,https://twitter.com/HorneJerome,,,,,,,,,,,,,,,United States
Naomi Doerner,People to Follow,"Seattle, WA",English,https://twitter.com/Bici_Urbana,,,,,,,,,,,,,,,United States
Gigi the Planner,People to Follow,Florida,English,https://twitter.com/gigitheplanner,,,,,,,,,,,,,,,United States
Brentin Mock,People to Follow,United States,English,https://twitter.com/brentinmock,Editor and writer for CityLab,,,,,,,,,,,,,,United States
Melissa Daniel,People to Follow,Washington DC,English,https://twitter.com/melissardaniel?lang=en,,,,,,,,,,,,,,,
Neba Sere,People to Follow,"Longon, England",English,https://twitter.com/nebasere?lang=en,,,,,,,,,,,,,,,Beyond North America
Selasi Setufe,People to Follow,"London, England",English,https://twitter.com/selasi_setufe?lang=en,,,,,,,,,,,,,,,
Tiera Mack,People to Follow,NYC,English,https://twitter.com/TieraMMack,,,,,,,,,,,,,,,
Mitchell Silver,People to Follow,NYC,English,https://twitter.com/mitchell_silver?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Lanscape Architect and Urbanist,,,,,,,,,,,,,,
Urbanist Leaders of Color,People to Follow,United States,English,https://twitter.com/ULOCNetwork,,,,,,,,,,,,,,,United States
Design as Protest Collective,Organisation,United States,English,https://twitter.com/designasprotest,,,,,,,,,,,,,,,
De Nichols,People to Follow,"Boston, MA",English,https://twitter.com/de_nichols,,,,,,,,,,,,,,,
Homeplace: Planning and African American Communities,Resource List,United States,English,https://placesjournal.org/reading-list/homeplace-planning-and-african-american-communities/,,,,,,,,,,,,,,,
The Nexus Podcast,Podcast,United States,English,https://aadn.gsd.harvard.edu/nexus/,,,,,,,,,,,,,,,
Hoodstock,Organisation,"Montréal, QC",French,https://www.hoodstock.ca/team_hoodstock,"Mission: Générer des espaces de dialogues et des initiatives mobilisatrices pour éliminer les inégalités systémiques et développer des communautés solidaires, inclusives, sécuritaires et dynamiques.",,,,,,,,,,,,,,
Ville Caraïbe,Organisation,Martinique,French,http://www.villecaraibe.com/documentation/,,,,,,,,,,,,,,,
"Conseil d'Architecture, d'Urbanisme et de l'Environnement en Martinique",Organisation,Martinique,French,https://www.caue-martinique.com/,,,,,,,,,,,,,,,
AFRIKArchi Magazine,Resource List,Afrique,French,https://magazine.afrikarchi.com/,,,,,,,,,,,,,,,
The Seven Objectives for Black Planners to Remodel our Communities & Profession in the Next 10 Years,Resource List,United States,English,https://www.blackandurban.com/social-urbanism/the-seven-objectives-for-black-urban-planners,,,,,,,,,,,,,,,
École Africaine des Métiers de l'Architecture et de l'Urbanisme,Organisation,NA / International,French,https://www.eamau.org/,,,,,,,,,,,,,,,
SOS Racisme,Organisation,France,French,https://sos-racisme.org/,,,,,,,,,,,,,,,
Matri-Archi(tecture),Podcast,Africa,English,https://matri-archi.com/ma-source/podcasts/,From their Soundcloud account: Matri-Archi(tecture) is an intersectional collective that brings together African womxm of colour for the empowerment and development of African cities and spatial education.,,,,,,,,,,,,,,
Matri-Archi(tecture) @Matri_Archi ,Organisation,Africa,English,https://matri-archi.com,MA is an intersectional collective that brings POC African women together for the empowerment and development of African cities and spatial education. (from their website),,,,,,,,,,,,,,
Devenir architecte,Organisation,NA / International,Français,http://devenirarchitecte.com/,@eamaublog,,,,,,,,,,,,,,
École africaine des métiers de l'architecture et de l'urbanisme,Organisation,Afrique,Français,https://www.eamau.org/,,,,,,,,,,,,,,,
